model,scope,axis,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_unit,bootstrap_stratification,axis_count,scenario_count,pair_count
released_oracle,overall,all,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,4,16,32
released_oracle,overall,all,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,4,16,32
released_oracle,overall,all,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,4,16,32
released_oracle,overall,all,stable_control_accuracy,1.0,1.0,1.0,10000,scenario,axis,4,16,32
released_oracle,overall,all,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,4,16,32
released_oracle,overall,all,candidate_accuracy,1.0,1.0,1.0,10000,scenario,axis,4,16,32
released_oracle,axis,as_of_time,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,as_of_time,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,as_of_time,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,as_of_time,stable_control_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,as_of_time,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
released_oracle,axis,as_of_time,candidate_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,lifecycle_intent,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,lifecycle_intent,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,lifecycle_intent,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,lifecycle_intent,stable_control_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,lifecycle_intent,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
released_oracle,axis,lifecycle_intent,candidate_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,policy_purpose,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,policy_purpose,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,policy_purpose,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,policy_purpose,stable_control_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,policy_purpose,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
released_oracle,axis,policy_purpose,candidate_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,principal_scope,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,principal_scope,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,principal_scope,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,principal_scope,stable_control_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
released_oracle,axis,principal_scope,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
released_oracle,axis,principal_scope,candidate_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,overall,all,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis,4,16,32
no_verifier_keep_all,overall,all,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis,4,16,32
no_verifier_keep_all,overall,all,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis,4,16,32
